dataset_name,detail_url,dataset_description,resource name,resource_type,resource_region,resource_desc,tag01,tag02,tag03,tag04,tag05,tag06,tag07,tag08,tag09,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20
Terrain Tiles,https://registry.opendata.aws/terrain-tiles/,"A global dataset providing bare-earth terrain heights, tiled for easy usage and provided on S3.",arn:aws:s3:::elevation-tiles-prod,S3 Bucket,us-east-1,Gridded elevation tiles,disaster response,earth observation,elevation,geospatial,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cancer Cell Line Encyclopedia (CCLE),https://registry.opendata.aws/ccle/,"The Cancer Cell Line Encyclopedia (CCLE) project is an effort to conduct a detailed genetic characterization of a large panel of human cancer cell lines. The CCLE provides public access to genomic data, visualization and analysis for over 1100 cancer cell lines. This dataset contains RNA-Seq Aligned Reads, WXS Aligned Reads, and WGS Aligned Reads data.",arn:aws:s3:::gdc-ccle-2-open,S3 Bucket,us-east-1,"RNA-Seq Alligned Reads, WXS Alligned Reads, WGS Alligned Reads",cancer,genetic,genomic,Homo sapiens,life sciences,STRIDES,transcriptomics,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOAA Water-Column Sonar Data Archive,https://registry.opendata.aws/ncei-wcsd-archive/,Water-column sonar data archived at the NOAA National Centers for Environmental Information.,arn:aws:s3:::ncei-wcsd-archive,S3 Bucket,us-west-2,NCEI Water-Column Sonar Data Archive,biodiversity,earth observation,ecosystems,environmental,geospatial,mapping,oceans,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eBird Status and Trends Model Results,https://registry.opendata.aws/ebirdst/,"The eBird Status and Trends project generates estimates of bird occurrence and abundance at a high spatiotemporal resolution. This dataset represents the primary modeled results from the analysis workflow and are designed for further analysis, synthesis, visualization, and exploration.",arn:aws:s3:::ebirdst-data,S3 Bucket,us-west-2,Species results files,biodiversity,biology,earth observation,ecosystems,environmental,life sciences,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clinical Proteomic Tumor Analysis Consortium 2 (CPTAC-2),https://registry.opendata.aws/cptac-2/,"The Clinical Proteomic Tumor Analysis Consortium (CPTAC) is a national effort to accelerate the understanding of the molecular basis of cancer through the application of large-scale proteome and genome analysis, or proteogenomics. CPTAC-2 is the Phase II of the CPTAC Initiative (2011-2016). Datasets contain open RNA-Seq Gene Expression Quantification, miRNA-Seq Isoform Expression Quantification, and miRNA Expression Quantification data.",arn:aws:s3:::gdc-cptac-2-phs000892-2-open,S3 Bucket,us-east-1,"RNA-Seq Gene Expression Quantification, miRNA-Seq Isoform Expression Quantification, miRNA-Seq miRNA Expression Quantification",cancer,genomic,life sciences,STRIDES,transcriptomics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fly Brain Anatomy: FlyLight Gen1 and Split-GAL4 Imagery,https://registry.opendata.aws/janelia-flylight/,"This data set, made available by Janelia's FlyLight project, consists of fluorescence images of Drosophila melanogaster driver lines, aligned to standard templates, and stored in formats suitable for rapid searching and visualization. Additional data will be added as it is published. A large release of Gen1 MCFO samples is coming at the beginning of May 2020.",arn:aws:s3:::janelia-flylight-imagery,S3 Bucket,us-east-1,Imagery and Metadata,biology,fluorescence imaging,image processing,life sciences,microscopy,neurobiology,neuroimaging,neuroscience,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fly Brain Anatomy: FlyLight Gen1 and Split-GAL4 Imagery,https://registry.opendata.aws/janelia-flylight/,"This data set, made available by Janelia's FlyLight project, consists of fluorescence images of Drosophila melanogaster driver lines, aligned to standard templates, and stored in formats suitable for rapid searching and visualization. Additional data will be added as it is published. A large release of Gen1 MCFO samples is coming at the beginning of May 2020.",arn:aws:s3:::janelia-flylight-templates,S3 Bucket,us-east-1,Alignment Templates,biology,fluorescence imaging,image processing,life sciences,microscopy,neurobiology,neuroimaging,neuroscience,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fly Brain Anatomy: FlyLight Gen1 and Split-GAL4 Imagery,https://registry.opendata.aws/janelia-flylight/,"This data set, made available by Janelia's FlyLight project, consists of fluorescence images of Drosophila melanogaster driver lines, aligned to standard templates, and stored in formats suitable for rapid searching and visualization. Additional data will be added as it is published. A large release of Gen1 MCFO samples is coming at the beginning of May 2020.",arn:aws:s3:::janelia-flylight-color-depth,S3 Bucket,us-east-1,Color Depth MIPs,biology,fluorescence imaging,image processing,life sciences,microscopy,neurobiology,neuroimaging,neuroscience,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ICGC on AWS,https://registry.opendata.aws/icgc/,"The International Cancer Genome Consortium (ICGC) coordinates projects with the common aim of accelerating research into the causes and control of cancer. The PanCancer Analysis of Whole Genomes (PCAWG) study is an international collaboration to identify common patterns of mutation in whole genomes from ICGC. More than 2,400 consistently analyzed genomes corresponding to over 1,100 unique ICGC donors are now freely available on Amazon S3 to credentialed researchers subject to ICGC data sharing policies.",arn:aws:s3:::icgc,S3 Bucket Controlled Access,us-east-1,BAM and VCF files from the The PanCancer Analysis of Whole Genomes (PCAWG) study.,cancer,genomic,life sciences,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ICGC on AWS,https://registry.opendata.aws/icgc/,"The International Cancer Genome Consortium (ICGC) coordinates projects with the common aim of accelerating research into the causes and control of cancer. The PanCancer Analysis of Whole Genomes (PCAWG) study is an international collaboration to identify common patterns of mutation in whole genomes from ICGC. More than 2,400 consistently analyzed genomes corresponding to over 1,100 unique ICGC donors are now freely available on Amazon S3 to credentialed researchers subject to ICGC data sharing policies.",arn:aws:s3:::oicr.icgc.meta/metadata,S3 Bucket,us-east-1,This public Amazon S3 bucket contains analysis metadata in XML format for genome analysis results. More information at http://oicr.icgc.meta.s3.amazonaws.com/metadata/README,cancer,genomic,life sciences,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/wtk-us/,S3 Bucket,us-west-2,Source files for wtk-us gridded (2007-2013) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/conus/,S3 Bucket,us-west-2,Source files for WIND Toolkit CONUS (2007-2014) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/canada/,S3 Bucket,us-west-2,Source files for WIND Toolkit Canada (2007-2014) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/mexico/,S3 Bucket,us-west-2,Source files for WIND Toolkit Mexico (2007-2014) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/Offshore_CA/,S3 Bucket,us-west-2,Offshore California Wind Resource data for (2000-2019) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/bangladesh/,S3 Bucket,us-west-2,Bangladesh wind resource data (2014-2017) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/central_asia/,S3 Bucket,us-west-2,Central Asia wind resource data (2015) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/india/,S3 Bucket,us-west-2,India wind resource data (2014) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/kazakhstan/,S3 Bucket,us-west-2,Kazakhstan wind resource data (2015) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/philippines/,S3 Bucket,us-west-2,Philippines wind resource data (2017) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/vietnam/,S3 Bucket,us-west-2,Vietnam wind resource data (2016) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-hsds/,S3 Bucket,us-west-2,HSDS backend data,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/wtk-techno-economic/pywtk-data/,S3 Bucket,us-west-2,Techno-economic subset of the WIND Toolkit by location in netCDF format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/eastern_wind/,S3 Bucket,us-west-2,Data for the Eastern Wind Integration Study (2004-2006) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/western_wind/,S3 Bucket,us-west-2,Data for the Western Wind Integration Study (2004-2006) in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NREL Wind Integration National Dataset on AWS,https://registry.opendata.aws/nrel-pds-wtk/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the Wind Integration National Dataset (WIND) is an update and expansion of the Eastern Wind Integration Data Set and Western Wind Integration Data Set. It supports the next generation of wind integration studies.",arn:aws:s3:::nrel-pds-wtk/philippines_tmy/,S3 Bucket,us-west-2,Philippines typical meteorological year data in HDF5 format,environmental,geospatial,meteorological,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SpaceNet,https://registry.opendata.aws/spacenet/,"SpaceNet, launched in August 2016 as an open innovation project offering a repository of freely available imagery with co-registered map features. Before SpaceNet, computer vision researchers had minimal options to obtain free, precision-labeled, and high-resolution satellite imagery. Today, SpaceNet hosts datasets developed by its own team, along with data sets from projects like IARPA’s Functional Map of the World (fMoW).",arn:aws:s3:::spacenet-dataset,S3 Bucket,us-east-1,Imagery and metadata in a S3 bucket,computer vision,disaster response,earth observation,geospatial,machine learning,satellite imagery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clinical Proteomic Tumor Analysis Consortium 3 (CPTAC-3),https://registry.opendata.aws/cptac-3/,"The Clinical Proteomic Tumor Analysis Consortium (CPTAC) is a national effort to accelerate the understanding of the molecular basis of cancer through the application of large-scale proteome and genome analysis, or proteogenomics. CPTAC-3 is the Phase III of the CPTAC Initiative. The dataset contains open RNA-Seq Gene Expression Quantification data.",arn:aws:s3:::gdc-cptac-phs001287-2-open,S3 Bucket,us-east-1,RNA-Seq Gene Expression Quantification,cancer,genomic,life sciences,STRIDES,transcriptomics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Global Database of Events, Language and Tone (GDELT)",https://registry.opendata.aws/gdelt/,"This project monitors the world's broadcast, print, and web news from nearly every corner of every country in over 100 languages and identifies the people, locations, organizations, counts, themes, sources, emotions, quotes, images and events driving our global society every second of every day.",arn:aws:s3:::gdelt-open-data,S3 Bucket,us-east-1,Project data files,disaster response,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Global Database of Events, Language and Tone (GDELT)",https://registry.opendata.aws/gdelt/,"This project monitors the world's broadcast, print, and web news from nearly every corner of every country in over 100 languages and identifies the people, locations, organizations, counts, themes, sources, emotions, quotes, images and events driving our global society every second of every day.",arn:aws:sns:us-east-1:928094251383:gdelt-csv,SNS Topic,us-east-1,Notifications for new data,disaster response,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open NeuroData,https://registry.opendata.aws/open-neurodata/,"This bucket contains multiple neuroimaging datasets (as Neuroglancer Precomputed Volumes) across multiple modalities and scales, ranging from nanoscale (electron microscopy), to microscale (cleared lightsheet microscopy and array tomography), and mesoscale (structural and functional magnetic resonance imaging). Additionally, many of the datasets include segmentations and meshes.",arn:aws:s3:::open-neurodata,S3 Bucket,us-east-1,Neuroglancer precomputed volumes in a public bucket,array tomography,biology,electron microscopy,image processing,life sciences,lightsheet microscopy,magnetic resonance imaging,neuroimaging,neuroscience,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Radiant MLHub,https://registry.opendata.aws/radiant-mlhub/,"Radiant MLHub is an open library for geospatial training data that hosts datasets generated by Radiant Earth Foundation's team as well as other training data catalogs contributed by Radiant Earth’s partners. Radiant MLHub is open to anyone to access, store, register and/or share their training datasets for high-quality Earth observations. All of the training datasets are stored using a SpatioTemporal Asset Catalog (STAC) compliant catalog and exposed through a common API. Training datasets include pairs of imagery and labels for different types of machine learning problems including image classification, object detection, and semantic segmentation. Labels are generated from ground reference data and/or image annotation.",arn:aws:s3:::radiant-mlhub,S3 Bucket,us-west-2,Radiant MLHub Training Data,earth observation,environmental,geospatial,labeled,machine learning,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CoMMpass from the Multiple Myeloma Research Foundation,https://registry.opendata.aws/mmrf-commpass/,"The Relating Clinical Outcomes in Multiple Myeloma to Personal Assessment of Genetic Profile study is the Multiple Myeloma Research Foundation (MMRF)’s landmark personalized medicine initiative. CoMMpass is a longitudinal observation study of around 1000 newly diagnosed myeloma patients receiving various standard approved treatments. The MMRF’s vision is to track the treatment and results for each CoMMpass patient so that someday the information can be used to guide decisions for newly diagnosed patients. CoMMpass checked on patients every 6 months for 8 years, collecting tissue samples, genetic, information, quality of life and various disease and clinical outcomes. The study has produced one of the largest genomic and clinical datasets of a single disease.",arn:aws:s3:::gdc-mmrf-commpass-phs000748-2-open,S3 Bucket,us-east-1,RNA-Seq Gene Expression Quantification,cancer,genetic,genomic,STRIDES,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOAA Geostationary Operational Environmental Satellites (GOES) 16 & 17,https://registry.opendata.aws/noaa-goes/,"GOES satellites (GOES-16 & GOES-17) provide continuous weather imagery and monitoring of meteorological and space environment data across North America. GOES satellites provide the kind of continuous monitoring necessary for intensive data analysis. They hover continuously over one position on the surface. The satellites orbit high enough to allow for a full-disc view of the Earth. Because they stay above a fixed spot on the surface, they provide a constant vigil for the atmospheric ""triggers"" for severe weather conditions such as tornadoes, flash floods, hailstorms, and hurricanes. When these conditions develop, the GOES satellites are able to monitor storm development and track their movements.",arn:aws:s3:::noaa-goes16,S3 Bucket,us-east-1,GOES-16 imagery and metadata,disaster response,earth observation,geospatial,meteorological,satellite imagery,sustainability,weather,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOAA Geostationary Operational Environmental Satellites (GOES) 16 & 17,https://registry.opendata.aws/noaa-goes/,"GOES satellites (GOES-16 & GOES-17) provide continuous weather imagery and monitoring of meteorological and space environment data across North America. GOES satellites provide the kind of continuous monitoring necessary for intensive data analysis. They hover continuously over one position on the surface. The satellites orbit high enough to allow for a full-disc view of the Earth. Because they stay above a fixed spot on the surface, they provide a constant vigil for the atmospheric ""triggers"" for severe weather conditions such as tornadoes, flash floods, hailstorms, and hurricanes. When these conditions develop, the GOES satellites are able to monitor storm development and track their movements.",arn:aws:sns:us-east-1:123901341784:NewGOES16Object,SNS Topic,us-east-1,"New data notifications for GOES-16, only Lambda and SQS protocols allowed",disaster response,earth observation,geospatial,meteorological,satellite imagery,sustainability,weather,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOAA Geostationary Operational Environmental Satellites (GOES) 16 & 17,https://registry.opendata.aws/noaa-goes/,"GOES satellites (GOES-16 & GOES-17) provide continuous weather imagery and monitoring of meteorological and space environment data across North America. GOES satellites provide the kind of continuous monitoring necessary for intensive data analysis. They hover continuously over one position on the surface. The satellites orbit high enough to allow for a full-disc view of the Earth. Because they stay above a fixed spot on the surface, they provide a constant vigil for the atmospheric ""triggers"" for severe weather conditions such as tornadoes, flash floods, hailstorms, and hurricanes. When these conditions develop, the GOES satellites are able to monitor storm development and track their movements.",arn:aws:s3:::noaa-goes17,S3 Bucket,us-east-1,GOES-17 imagery and metadata,disaster response,earth observation,geospatial,meteorological,satellite imagery,sustainability,weather,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOAA Geostationary Operational Environmental Satellites (GOES) 16 & 17,https://registry.opendata.aws/noaa-goes/,"GOES satellites (GOES-16 & GOES-17) provide continuous weather imagery and monitoring of meteorological and space environment data across North America. GOES satellites provide the kind of continuous monitoring necessary for intensive data analysis. They hover continuously over one position on the surface. The satellites orbit high enough to allow for a full-disc view of the Earth. Because they stay above a fixed spot on the surface, they provide a constant vigil for the atmospheric ""triggers"" for severe weather conditions such as tornadoes, flash floods, hailstorms, and hurricanes. When these conditions develop, the GOES satellites are able to monitor storm development and track their movements.",arn:aws:sns:us-east-1:123901341784:NewGOES17Object,SNS Topic,us-east-1,"New data notifications for GOES-17, only Lambda and SQS protocols allowed",disaster response,earth observation,geospatial,meteorological,satellite imagery,sustainability,weather,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NYU Langone & FAIR FastMRI Dataset,https://registry.opendata.aws/nyu-fastmri/,"This dataset contains deidentified raw k-space data and DICOM image files of over 1,500 knees and 6,970 brains.",arn:aws:s3:::fastmri-dataset,S3 Bucket Controlled Access,us-east-1,Raw k-space data and DICOM files for a knee and brain dataset in a public S3 bucket,biology,health,image processing,life sciences,magnetic resonance imaging,neurobiology,neuroimaging,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
National Renewable Energy Laboratory's (NREL) PV Rooftop Database,https://registry.opendata.aws/nrel-oedi-pv-rooftops/,"Released to the public as part of the Department of Energy's Open Energy Data Initiative, the National Renewable Energy Laboratory's (NREL) PV Rooftop Database (PVRDB) is a lidar-derived, geospatially-resolved dataset of suitable roof surfaces and their PV technical potential for 128 metropolitan regions in the United States. The source lidar data and building footprints were obtained by the U.S. Department of Homeland Security Homeland Security Infrastructure Program for 2006-2014. Using GIS methods, NREL identified suitable roof surfaces based on their size, orientation, and shading parameters Gagnon et al. 2016. Standard 2015 technical potential was then estimated for each plane using NREL's System Advisor Model. The PVRDB is down-loadable by city and year of lidar collection. Five geospatial layers are available for each city and year: 1) the raster extent of the lidar collection, 2) buildings identified from the lidar data, 3) suitable developable planes for each building, 4) aspect values of the developable planes, and 5) the technical potential estimates of the developable planes. The first and current version of the PVRDB is derived from 2006-2014, 1-meter lidar data from the U.S. Department of Homeland Security for 128 metropolitan regions. Suitability is defined as any roof area that is less than 60 degrees in tilt; has an orientation facing east, southeast, south, southwest, or west; is in sunlight for a minimum number of hours per day (determined uniquely for each region); and has at least 10 m2 of contiguous area that meets the above listed criteria. Technical potential estiamtes were estimated using SAM, with NSRDB v1 as the underlying resource data. Technical parameters assumed a 2015 typical residential PV rooftop system.",arn:aws:s3:::nrel-pv-rooftops,S3 Bucket,us-west-2,PV Rooftops Dataset in Parquet format partitioned by City_Year,geospatial,lidar,solar,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ozone Monitoring Instrument (OMI) / Aura NO2 Tropospheric Column Density,https://registry.opendata.aws/omi-no2-nasa/,"NO2 tropospheric column density, screened for CloudFraction < 30% global daily composite at 0.25 degree resolution for the temporal range of 2004 to May 2020. Original archive data in HDF5 has been processed into a Cloud-Optimized GeoTiff (COG) format. Quality Assurance - This data has been validated by the NASA Science Team at Goddard Space Flight Center.Cautionary Note: https://airquality.gsfc.nasa.gov/caution-interpretation.",arn:aws:s3:::omi-no2-nasa,S3 Bucket,us-west-2,S3 Bucket for OMI NO2 in Cloud-Optimized GeoTiff format,air quality,atmosphere,earth observation,environmental,geospatial,satellite imagery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prefeitura Municipal de São Paulo (PMSP) LiDAR Point Cloud,https://registry.opendata.aws/pmsp-lidar/,"The objective of the Mapa 3D Digital da Cidade (M3DC) of the São Paulo City Hall is to publish LiDAR point cloud data. The initial data was acquired in 2017 by aerial surveying and future data will be added. This publicly accessible dataset is provided in the Entwine Point Tiles format as a lossless octree, full density, based on LASzip (LAZ) encoding.",arn:aws:s3:::ept-m3dc-pmsp,S3 Bucket,sa-east-1,São Paulo city's 3D LiDAR - Entwine Point Tiles.,cities,elevation,geospatial,land,lidar,mapping,urban,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prefeitura Municipal de São Paulo (PMSP) LiDAR Point Cloud,https://registry.opendata.aws/pmsp-lidar/,"The objective of the Mapa 3D Digital da Cidade (M3DC) of the São Paulo City Hall is to publish LiDAR point cloud data. The initial data was acquired in 2017 by aerial surveying and future data will be added. This publicly accessible dataset is provided in the Entwine Point Tiles format as a lossless octree, full density, based on LASzip (LAZ) encoding.",arn:aws:s3:::laz-m3dc-pmsp,S3 Bucket,sa-east-1,São Paulo city's 3D LiDAR - LAZ Files.,cities,elevation,geospatial,land,lidar,mapping,urban,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
